mes;passageiro_transportados;linha_azul;linha_verde;linha_vermelha;linha_prata;azul_media_dias_uteis;verde_media_dias_uteis;vermelha_media_dias_uteis;prata_media_dias_uteis;azul_media_sabado;verde_media_sabado;vermelha_media_sabado;prata_media_sabado;azul_media_domingo;verde_media_domingo;vermelha_media_domingo;prata_media_domingo
01/2017;74.539;29.569;13.476;31.145;349;1.161;554;1.227;15;704;259;732;6;430;165;451;2
02/2017;78.042;31.147;14.545;31.994;355;1.369;657;1.392;17;824;329;865;7;500;217;540;2
03/2017;92.419;36.864;17.397;37.754;404;1.450;698;1.473;17;816;321;875;7;444;203;481;2
04/2017;79.428;31.734;14.690;32.650;355;1.458;697;1.474;18;766;289;824;6;431;190;479;2
05/2017;92.822;37.090;17.395;37.870;467;1.435;690;1.449;19;839;324;903;7;421;181;469;2
06/2017;93.085;34.213;15.950;35.247;440;1.383;670;1.405;19;796;301;856;7;455;186;520;2
07/2017;82.297;32.682;15.343;33.860;411;1.264;613;1.293;17;779;293;842;7;451;200;499;2
08/2017;92.731;36.879;17.633;37.747;471;1.395;682;1.414;19;789;306;855;7;409;179;452;2
09/2017;86.761;34.679;16.241;35.400;439;1.442;699;1.454;20;781;300;830;7;450;204;493;2
10/2017;89.037;35.446;16.637;36.496;459;1.432;696;1.455;20;788;301;835;7;422;179;485;2
11/2017;85.038;33.847;15.719;35.010;462;1.453;704;1.475;22;794;298;860;8;460;187;532;2
12/2017;82.450;32.878;15.014;34.120;438;1.335;635;1.364;20;802;292;878;8;468;205;516;3
01/2018;72.953;28.972;13.602;29.999;379;1.169;570;1.196;17;701;276;748;6;402;167;439;3
02/2018;77.997;31.025;14.784;31.820;368;1.375;679;1.385;20;860;353;911;10;490;221;555;0
03/2018;91.824;36.553;17.473;37.387;411;1.452;713;1.467;20;777;305;823;5;439;199;501;0
04/2018;89.037;35.480;16.870;36.247;441;1.457;714;1.471;21;828;319;883;8;435;188;482;3
05/2018;92.063;36.519;17.492;37.542;509;1.436;706;1.455;22;834;336;900;7;488;218;559;4
06/2018;86.255;34.239;16.160;35.392;464;1.396;684;1.423;22;778;301;842;3;466;215;527;3
07/2018;82.145;32.512;15.368;33.836;427;1.280;627;1.317;20;781;297;829;3;462;201;518;1
08/2018;95.135;37.776;18.164;38.679;516;1.420;701;1.440;22;832;318;884;0;446;194;504;2
09/2018;86.258;34.371;16.246;35.197;445;1.442;705;1.457;23;822;321;870;3;465;202;515;2
10/2018;95.383;38.308;18.431;38.145;498;1.477;731;1.460;22;836;326;854;0;482;204;505;4
11/2018;87.792;35.499;16.888;35.008;398;1.538;769;1.493;23;843;326;864;6;499;216;523;4
12/2018;85.383;34.213;16.283;34.178;710;1.425;711;1.399;32;890;342;933;14;543;237;573;9
01/2019;80.567;32.037;15.982;31.644;903;1.258;648;1.230;37;721;292;736;17;454;203;475;11
02/2019;87.481;34.705;17.728;33.962;1.086;1.466;768;1.420;48;851;360;864;21;495;230;526;9
03/2019;92.728;36.580;18.610;36.165;1.374;1.519;807;1.470;61;855;363;890;25;493;230;556;14
04/2019;95.638;37.571;19.637;36.898;1.532;1.525;818;1.477;64;816;347;861;27;459;216;492;14
05/2019;98.818;38.705;20.076;38.229;1.808;1.497;797;1.461;73;848;358;893;31;471;219;495;18
06/2019;84.286;32.903;17.003;32.737;1.644;1.435;771;1.411;77;813;343;856;33;458;229;458;20
07/2019;87.353;33.892;17.670;34.013;1.778;1.299;701;1.294;72;799;337;830;25;462;218;481;20
08/2019;97.011;37.779;19.825;37.379;2.029;1.454;785;1.424;82;808;345;837;30;439;209;468;20
09/2019;93.956;35.968;19.555;36.261;2.171;1.443;808;1.447;90;817;357;850;38;481;234;495;25
